threshold,precision,recall,f1,specificity,false_positive_rate,false_negative_rate,true_positives,true_negatives,false_positives,false_negatives,false_positive_cost,false_negative_cost,retention_campaign_cost_total,expected_avoided_churn,estimated_savings,business_cost
0.56,0.5464,0.7124,0.6184,0.787,0.213,0.2876,265,813,220,107,11000.0,53500.0,26500.0,79.5,53000.0,11500.0
0.57,0.5551,0.7043,0.6209,0.7967,0.2033,0.2957,262,823,210,110,10500.0,55000.0,26200.0,78.6,52400.0,13100.0
0.58,0.5597,0.6935,0.6194,0.8035,0.1965,0.3065,258,830,203,114,10150.0,57000.0,25800.0,77.4,51600.0,15550.0
0.59,0.5625,0.6774,0.6146,0.8103,0.1897,0.3226,252,837,196,120,9800.0,60000.0,25200.0,75.6,50400.0,19400.0
0.6,0.5656,0.672,0.6143,0.8141,0.1859,0.328,250,841,192,122,9600.0,61000.0,25000.0,75.0,50000.0,20600.0
0.61,0.5664,0.6532,0.6067,0.8199,0.1801,0.3468,243,847,186,129,9300.0,64500.0,24300.0,72.9,48600.0,25200.0
0.62,0.5728,0.6344,0.602,0.8296,0.1704,0.3656,236,857,176,136,8800.0,68000.0,23600.0,70.8,47200.0,29600.0
0.63,0.5764,0.6183,0.5966,0.8364,0.1636,0.3817,230,864,169,142,8450.0,71000.0,23000.0,69.0,46000.0,33450.0
0.64,0.581,0.6075,0.594,0.8422,0.1578,0.3925,226,870,163,146,8150.0,73000.0,22600.0,67.8,45200.0,35950.0
0.65,0.5898,0.5914,0.5906,0.8519,0.1481,0.4086,220,880,153,152,7650.0,76000.0,22000.0,66.0,44000.0,39650.0
0.66,0.5956,0.586,0.5908,0.8567,0.1433,0.414,218,885,148,154,7400.0,77000.0,21800.0,65.4,43600.0,40800.0
0.67,0.6061,0.5833,0.5945,0.8635,0.1365,0.4167,217,892,141,155,7050.0,77500.0,21700.0,65.1,43400.0,41150.0
0.68,0.6125,0.578,0.5947,0.8683,0.1317,0.422,215,897,136,157,6800.0,78500.0,21500.0,64.5,43000.0,42300.0
0.69,0.6217,0.5699,0.5947,0.8751,0.1249,0.4301,212,904,129,160,6450.0,80000.0,21200.0,63.6,42400.0,44050.0
0.7,0.6295,0.5618,0.5937,0.8809,0.1191,0.4382,209,910,123,163,6150.0,81500.0,20900.0,62.7,41800.0,45850.0
0.71,0.6341,0.5403,0.5835,0.8877,0.1123,0.4597,201,917,116,171,5800.0,85500.0,20100.0,60.3,40200.0,51100.0
0.72,0.6545,0.5296,0.5854,0.8993,0.1007,0.4704,197,929,104,175,5200.0,87500.0,19700.0,59.1,39400.0,53300.0
0.73,0.6678,0.5134,0.5805,0.908,0.092,0.4866,191,938,95,181,4750.0,90500.0,19100.0,57.3,38200.0,57050.0
0.74,0.6741,0.4892,0.567,0.9148,0.0852,0.5108,182,945,88,190,4400.0,95000.0,18200.0,54.6,36400.0,63000.0
0.75,0.6795,0.4731,0.5578,0.9197,0.0803,0.5269,176,950,83,196,4150.0,98000.0,17600.0,52.8,35200.0,66950.0
0.76,0.7016,0.4677,0.5613,0.9284,0.0716,0.5323,174,959,74,198,3700.0,99000.0,17400.0,52.2,34800.0,67900.0
0.77,0.7107,0.4624,0.5603,0.9322,0.0678,0.5376,172,963,70,200,3500.0,100000.0,17200.0,51.6,34400.0,69100.0
0.78,0.7124,0.4328,0.5385,0.9371,0.0629,0.5672,161,968,65,211,3250.0,105500.0,16100.0,48.3,32200.0,76550.0
0.79,0.7014,0.3978,0.5077,0.939,0.061,0.6022,148,970,63,224,3150.0,112000.0,14800.0,44.4,29600.0,85550.0
0.8,0.7035,0.3763,0.4904,0.9429,0.0571,0.6237,140,974,59,232,2950.0,116000.0,14000.0,42.0,28000.0,90950.0
0.81,0.7,0.3387,0.4565,0.9477,0.0523,0.6613,126,979,54,246,2700.0,123000.0,12600.0,37.8,25200.0,100500.0
0.82,0.7024,0.3172,0.437,0.9516,0.0484,0.6828,118,983,50,254,2500.0,127000.0,11800.0,35.4,23600.0,105900.0
0.83,0.6993,0.2876,0.4076,0.9555,0.0445,0.7124,107,987,46,265,2300.0,132500.0,10700.0,32.1,21400.0,113400.0
0.84,0.7111,0.2581,0.3787,0.9622,0.0378,0.7419,96,994,39,276,1950.0,138000.0,9600.0,28.8,19200.0,120750.0
0.85,0.6984,0.2366,0.3534,0.9632,0.0368,0.7634,88,995,38,284,1900.0,142000.0,8800.0,26.4,17600.0,126300.0
0.86,0.7321,0.2204,0.3388,0.971,0.029,0.7796,82,1003,30,290,1500.0,145000.0,8200.0,24.6,16400.0,130100.0
0.87,0.7474,0.1909,0.3041,0.9768,0.0232,0.8091,71,1009,24,301,1200.0,150500.0,7100.0,21.3,14200.0,137500.0
0.88,0.7692,0.1613,0.2667,0.9826,0.0174,0.8387,60,1015,18,312,900.0,156000.0,6000.0,18.0,12000.0,144900.0
0.89,0.791,0.1425,0.2415,0.9864,0.0136,0.8575,53,1019,14,319,700.0,159500.0,5300.0,15.9,10600.0,149600.0
0.9,0.7925,0.1129,0.1976,0.9894,0.0106,0.8871,42,1022,11,330,550.0,165000.0,4200.0,12.6,8400.0,157150.0
